,PHAT_open,PHAT_close,MEDP_open,MEDP_close,ILMN_open,ILMN_close,TWST_open,TWST_close,ALEC_open,ALEC_close
2019-10-25,22.5,24.600000381469727,75.16000366210938,75.37000274658203,298.8500061035156,290.6400146484375,23.290000915527344,24.209999084472656,15.930000305175781,16.0
2019-10-28,23.399999618530273,23.59000015258789,75.73999786376953,77.01000213623047,292.92999267578125,304.05999755859375,24.270000457763672,25.030000686645508,16.190000534057617,16.190000534057617
2019-10-29,23.530000686645508,23.31999969482422,71.2699966430664,75.95999908447266,303.0,301.7900085449219,25.049999237060547,24.530000686645508,16.149999618530273,16.940000534057617
2019-10-30,23.299999237060547,23.200000762939453,76.26000213623047,74.94000244140625,301.5799865722656,296.510009765625,24.520000457763672,24.459999084472656,16.829999923706055,17.3799991607666
2019-10-31,23.149999618530273,23.6200008392334,75.12000274658203,73.62999725341797,296.3399963378906,295.5199890136719,24.459999084472656,23.81999969482422,17.260000228881836,16.84000015258789
2019-11-01,23.65999984741211,23.780000686645508,73.5,75.0,297.2799987792969,300.45001220703125,24.059999465942383,25.329999923706055,17.139999389648438,16.84000015258789
2019-11-04,24.170000076293945,25.959999084472656,75.80000305175781,75.12999725341797,302.9700012207031,303.67999267578125,25.579999923706055,24.579999923706055,17.0,17.25
2019-11-05,26.1200008392334,26.200000762939453,75.1500015258789,75.4000015258789,305.05999755859375,300.8699951171875,24.719999313354492,22.979999542236328,17.350000381469727,17.100000381469727
2019-11-06,25.979999542236328,25.65999984741211,75.29000091552734,71.19000244140625,300.8999938964844,297.25,22.979999542236328,21.690000534057617,17.110000610351562,17.149999618530273
2019-11-07,25.43000030517578,26.350000381469727,71.75,70.43000030517578,299.3500061035156,295.25,21.760000228881836,21.510000228881836,17.350000381469727,17.850000381469727
2019-11-08,26.25,26.899999618530273,70.0999984741211,70.15499877929688,293.0,293.3900146484375,21.600000381469727,22.360000610351562,17.700000762939453,17.110000610351562
2019-11-11,27.0,26.670000076293945,69.7300033569336,70.08000183105469,293.0199890136719,295.0,22.270000457763672,21.770000457763672,17.020000457763672,16.68000030517578
2019-11-12,26.5,26.5,70.0,70.87000274658203,295.8699951171875,295.7300109863281,21.809999465942383,22.170000076293945,16.729999542236328,16.309999465942383
2019-11-13,26.389999389648438,26.079999923706055,70.66999816894531,70.66999816894531,295.2900085449219,298.2200012207031,22.110000610351562,21.690000534057617,16.110000610351562,15.65999984741211
2019-11-14,26.020000457763672,26.200000762939453,70.5,72.13999938964844,299.55999755859375,298.44000244140625,21.6299991607666,21.280000686645508,15.59000015258789,15.510000228881836
2019-11-15,26.299999237060547,25.8700008392334,72.76000213623047,72.69999694824219,301.04998779296875,305.989990234375,21.489999771118164,21.860000610351562,15.699999809265137,15.979999542236328
2019-11-18,25.75,24.270000457763672,72.41999816894531,71.2300033569336,305.8999938964844,306.6700134277344,21.760000228881836,21.010000228881836,16.049999237060547,15.869999885559082
2019-11-19,23.780000686645508,24.489999771118164,71.2699966430664,72.48999786376953,307.30999755859375,311.010009765625,21.200000762939453,21.690000534057617,15.9399995803833,15.479999542236328
2019-11-20,24.920000076293945,25.079999923706055,72.58000183105469,74.36000061035156,308.6099853515625,314.9100036621094,22.190000534057617,22.850000381469727,15.5,15.800000190734863
2019-11-21,24.90999984741211,23.6200008392334,74.58000183105469,74.73999786376953,313.94000244140625,312.8500061035156,22.639999389648438,22.700000762939453,15.989999771118164,15.829999923706055
2019-11-22,23.93000030517578,23.469999313354492,75.02999877929688,74.91999816894531,313.8599853515625,315.6199951171875,22.8700008392334,22.979999542236328,16.020000457763672,15.84000015258789
2019-11-25,23.209999084472656,24.549999237060547,75.27999877929688,76.26000213623047,315.5199890136719,317.2300109863281,23.15999984741211,23.290000915527344,15.989999771118164,16.510000228881836
2019-11-26,25.299999237060547,25.0,76.4000015258789,76.62000274658203,317.0,319.4100036621094,23.219999313354492,23.209999084472656,16.485000610351562,18.15999984741211
2019-11-27,24.84000015258789,25.0,76.98999786376953,78.26000213623047,319.82000732421875,320.94000244140625,23.299999237060547,23.40999984741211,18.299999237060547,18.920000076293945
2019-11-29,25.0,25.600000381469727,78.06999969482422,76.66999816894531,320.0,320.760009765625,23.389999389648438,23.829999923706055,18.90999984741211,18.639999389648438
2019-12-02,25.690000534057617,26.170000076293945,76.81999969482422,76.55000305175781,320.3299865722656,319.6700134277344,23.809999465942383,23.0,18.610000610351562,18.6200008392334
2019-12-03,25.959999084472656,25.940000534057617,75.76000213623047,76.55999755859375,317.5199890136719,322.9700012207031,22.6200008392334,22.739999771118164,18.309999465942383,19.440000534057617
2019-12-04,25.770000457763672,26.700000762939453,76.73999786376953,77.2300033569336,321.69000244140625,319.67999267578125,22.84000015258789,23.489999771118164,19.700000762939453,19.6200008392334
2019-12-05,26.760000228881836,26.75,77.47000122070312,77.25,320.0,319.80999755859375,23.56999969482422,23.34000015258789,19.809999465942383,19.389999389648438
2019-12-06,26.75,24.239999771118164,77.93000030517578,80.11000061035156,321.0,326.4700012207031,23.25,24.739999771118164,20.010000228881836,19.760000228881836
2019-12-09,24.25,23.149999618530273,80.8499984741211,80.08999633789062,326.19000244140625,326.5899963378906,24.799999237060547,24.520000457763672,20.40999984741211,19.6299991607666
2019-12-10,23.809999465942383,22.56999969482422,80.01000213623047,79.22000122070312,326.010009765625,326.94000244140625,24.260000228881836,25.020000457763672,19.59000015258789,19.549999237060547
2019-12-11,22.5,21.0,80.4000015258789,79.27999877929688,326.0,320.57000732421875,25.5,26.0,19.600000381469727,19.110000610351562
2019-12-12,20.899999618530273,21.25,79.31999969482422,81.25,320.8900146484375,321.989990234375,24.030000686645508,26.18000030517578,19.18000030517578,19.93000030517578
